Total seleccionados:    1,968
En estado terminal:     5
Por descargar/reintentar: 1,963 (modo: reintenta error/download_failed)

[1/1963] TIC 427348923 (label=0) ... WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
error | 0/2 sec | 0.0 MB | 1.6 s
[1083/1963] TIC 366119858 (label=1) ... ok | 1/1 sec | 1.9 MB | 2.5 s
[1084/1963] TIC 18318288 (label=1) ... Warning: 24% (4072/16779) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/6 sec | 5.5 MB | 6.8 s
[1085/1963] TIC 299798795 (label=1) ... ok | 3/10 sec | 5.9 MB | 6.0 s
[1086/1963] TIC 27244707 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.3 s
[1087/1963] TIC 166697854 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.4 s
[1088/1963] TIC 75417968 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.0 s
[1089/1963] TIC 304025075 (label=0) ... ok | 3/4 sec | 6.0 MB | 9.1 s
[1090/1963] TIC 97735297 (label=0) ... ok | 3/3 sec | 5.7 MB | 5.8 s
[1091/1963] TIC 274662200 (label=0) ... ok | 3/6 sec | 5.7 MB | 7.9 s
[1092/1963] TIC 348755728 (label=1) ... ok | 3/4 sec | 5.7 MB | 5.5 s
[1093/1963] TIC 220076110 (label=1) ... ok | 1/1 sec | 4.2 MB | 2.8 s
[1094/1963] TIC 320536216 (label=0) ... ok | 3/8 sec | 5.5 MB | 6.1 s
[1095/1963] TIC 29857954 (label=1) ... ok | 3/4 sec | 5.8 MB | 5.9 s
[1096/1963] TIC 12036590 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.6 s
[1097/1963] TIC 32830028 (label=0) ... ok | 3/3 sec | 5.4 MB | 5.5 s
[1098/1963] TIC 53498154 (label=1) ... Warning: 25% (4801/19050) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/3 sec | 6.0 MB | 0.6 s
[1099/1963] TIC 16102323 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.0 s
[1100/1963] TIC 144970275 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.8 s
[1101/1963] TIC 20988926 (label=0) ... ok | 3/3 sec | 5.8 MB | 6.2 s
[1102/1963] TIC 275562670 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.5 s
[1103/1963] TIC 363635669 (label=0) ... ok | 3/3 sec | 6.0 MB | 5.6 s
[1104/1963] TIC 49617263 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.5 s
[1105/1963] TIC 35009898 (label=1) ... ok | 3/7 sec | 5.5 MB | 5.9 s
[1106/1963] TIC 233390838 (label=0) ... ok | 3/13 sec | 5.5 MB | 6.0 s
[1107/1963] TIC 201233610 (label=0) ... ok | 3/4 sec | 5.8 MB | 5.5 s
[1108/1963] TIC 34068865 (label=1) ... ok | 3/7 sec | 5.5 MB | 6.3 s
[1109/1963] TIC 23769326 (label=1) ... Warning: 21% (3845/18126) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
Warning: 25% (4836/19050) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/4 sec | 5.9 MB | 5.8 s
[1110/1963] TIC 360816293 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.9 s
[1111/1963] TIC 144193715 (label=1) ... ok | 3/4 sec | 5.9 MB | 6.4 s
[1112/1963] TIC 372505528 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.5 s
[1113/1963] TIC 255851356 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.7 s
[1114/1963] TIC 42883782 (label=1) ... ok | 3/3 sec | 5.8 MB | 6.0 s
[1115/1963] TIC 66783360 (label=0) ... ok | 3/3 sec | 6.0 MB | 7.5 s
[1116/1963] TIC 124095888 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.6 s
[1117/1963] TIC 349972412 (label=1) ... ok | 3/29 sec | 5.5 MB | 1.6 s
[1118/1963] TIC 229141709 (label=0) ... ok | 2/2 sec | 3.9 MB | 5.9 s
[1119/1963] TIC 307111282 (label=0) ... ok | 1/1 sec | 1.8 MB | 3.7 s
[1120/1963] TIC 27677846 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.5 s
[1121/1963] TIC 468574941 (label=1) ... ok | 3/6 sec | 5.3 MB | 8.1 s
[1122/1963] TIC 186599508 (label=0) ... ok | 1/1 sec | 1.8 MB | 5.1 s
[1123/1963] TIC 297967252 (label=0) ... ok | 3/8 sec | 5.6 MB | 8.3 s
[1124/1963] TIC 29117085 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.7 s
[1125/1963] TIC 120723776 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.5 s
[1126/1963] TIC 22233480 (label=1) ... Warning: 24% (4000/16779) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/5 sec | 5.7 MB | 8.8 s
[1127/1963] TIC 428065977 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.9 s
[1128/1963] TIC 287329267 (label=0) ... ok | 3/29 sec | 5.5 MB | 9.6 s
[1129/1963] TIC 237101326 (label=0) ... ok | 3/24 sec | 5.9 MB | 8.5 s
[1130/1963] TIC 398733009 (label=0) ... ok | 3/3 sec | 7.9 MB | 8.5 s
[1131/1963] TIC 388076422 (label=1) ... ok | 3/10 sec | 6.2 MB | 8.2 s
[1132/1963] TIC 377064495 (label=1) ... ok | 3/5 sec | 5.5 MB | 1.7 s
[1133/1963] TIC 193336820 (label=1) ... ok | 3/5 sec | 6.0 MB | 8.1 s
[1134/1963] TIC 256886630 (label=0) ... ok | 2/2 sec | 3.7 MB | 6.0 s
[1135/1963] TIC 105387356 (label=0) ... ok | 3/4 sec | 5.9 MB | 8.2 s
[1136/1963] TIC 62483237 (label=1) ... ok | 3/4 sec | 5.9 MB | 8.1 s
[1137/1963] TIC 354442783 (label=0) ... ok | 2/2 sec | 3.9 MB | 5.8 s
[1138/1963] TIC 71582156 (label=1) ... ok | 3/5 sec | 5.7 MB | 7.8 s
[1139/1963] TIC 311183180 (label=0) ... ok | 2/2 sec | 3.8 MB | 5.5 s
[1140/1963] TIC 31268146 (label=0) ... ok | 3/36 sec | 5.4 MB | 8.7 s
[1141/1963] TIC 374400599 (label=0) ... ok | 1/1 sec | 1.8 MB | 3.7 s
[1142/1963] TIC 169177766 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.6 s
[1143/1963] TIC 67247610 (label=0) ... ok | 3/3 sec | 5.9 MB | 8.0 s
[1144/1963] TIC 343019899 (label=1) ... ok | 3/6 sec | 6.1 MB | 9.9 s
[1145/1963] TIC 1405997635 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.8 s
[1146/1963] TIC 27491137 (label=1) ... Warning: 20% (3715/18126) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/4 sec | 5.7 MB | 9.1 s
[1147/1963] TIC 9804616 (label=0) ... ok | 1/1 sec | 1.9 MB | 4.7 s
[1148/1963] TIC 389525208 (label=0) ... ok | 2/2 sec | 3.8 MB | 6.4 s
[1149/1963] TIC 387690507 (label=1) ... ok | 3/7 sec | 5.3 MB | 8.9 s
[1150/1963] TIC 124543547 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.6 s
[1151/1963] TIC 179155220 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.7 s
[1152/1963] TIC 299799658 (label=1) ... ok | 3/10 sec | 5.9 MB | 8.2 s
[1153/1963] TIC 356453768 (label=0) ... ok | 3/3 sec | 5.5 MB | 8.0 s
[1154/1963] TIC 1003831 (label=1) ... ok | 3/5 sec | 5.5 MB | 8.7 s
[1155/1963] TIC 320506985 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.0 s
[1156/1963] TIC 272625214 (label=0) ... ok | 2/2 sec | 4.1 MB | 6.2 s
[1157/1963] TIC 274170255 (label=0) ... ok | 1/1 sec | 2.0 MB | 4.0 s
[1158/1963] TIC 24094603 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.9 s
[1159/1963] TIC 422756130 (label=1) ... ok | 3/11 sec | 5.6 MB | 8.3 s
[1160/1963] TIC 169532369 (label=0) ... ok | 2/2 sec | 3.8 MB | 8.3 s
[1161/1963] TIC 400595342 (label=0) ... ok | 2/2 sec | 3.7 MB | 6.0 s
[1162/1963] TIC 263179590 (label=1) ... ok | 3/3 sec | 5.8 MB | 8.6 s
[1163/1963] TIC 195093356 (label=0) ... ok | 2/2 sec | 3.9 MB | 6.1 s
[1164/1963] TIC 370877263 (label=0) ... ok | 1/1 sec | 2.0 MB | 4.8 s
[1165/1963] TIC 327369524 (label=1) ... ok | 3/6 sec | 6.2 MB | 8.3 s
[1166/1963] TIC 369581703 (label=0) ... no_data | 0/0 sec | 0.0 MB | 42.3 s
[1167/1963] TIC 350348197 (label=1) ... ok | 1/1 sec | 1.9 MB | 4.7 s
[1168/1963] TIC 113919944 (label=0) ... ok | 2/2 sec | 3.8 MB | 6.0 s
[1169/1963] TIC 437011608 (label=1) ... ok | 3/4 sec | 5.5 MB | 7.9 s
[1170/1963] TIC 305739565 (label=1) ... ok | 1/1 sec | 2.0 MB | 4.0 s
[1171/1963] TIC 312548415 (label=0) ... ok | 2/2 sec | 3.9 MB | 6.2 s
[1172/1963] TIC 29336129 (label=0) ... ok | 2/2 sec | 3.8 MB | 6.1 s
[1173/1963] TIC 172754786 (label=0) ... ok | 3/6 sec | 5.9 MB | 7.8 s
[1174/1963] TIC 306955329 (label=1) ... ok | 3/5 sec | 6.0 MB | 10.1 s
[1175/1963] TIC 219208037 (label=0) ... ok | 3/5 sec | 5.6 MB | 10.0 s
[1176/1963] TIC 19155785 (label=0) ... ok | 1/1 sec | 1.9 MB | 4.0 s
[1177/1963] TIC 224225541 (label=1) ... ok | 3/4 sec | 5.8 MB | 8.0 s
[1178/1963] TIC 316937670 (label=0) ... ok | 3/3 sec | 5.9 MB | 8.2 s
[1179/1963] TIC 56658270 (label=1) ... ok | 3/6 sec | 5.5 MB | 8.2 s
[1180/1963] TIC 37242226 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.4 s
[1181/1963] TIC 271167979 (label=0) ... ok | 3/3 sec | 5.8 MB | 8.4 s
[1182/1963] TIC 101011575 (label=1) ... ok | 3/4 sec | 5.5 MB | 1.6 s
[1183/1963] TIC 333473672 (label=1) ... ok | 3/4 sec | 5.7 MB | 7.0 s
[1184/1963] TIC 280307604 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.2 s
[1185/1963] TIC 427279997 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.6 s
[1186/1963] TIC 352413427 (label=1) ... ok | 3/3 sec | 5.8 MB | 9.1 s
[1187/1963] TIC 373614579 (label=0) ... ok | 2/2 sec | 3.9 MB | 6.3 s
[1188/1963] TIC 309436531 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.6 s
[1189/1963] TIC 4646810 (label=1) ... ok | 2/2 sec | 3.8 MB | 7.1 s
[1190/1963] TIC 124573851 (label=1) ... ok | 3/4 sec | 5.6 MB | 8.7 s
[1191/1963] TIC 178155732 (label=1) ... ok | 3/4 sec | 5.8 MB | 0.6 s
[1192/1963] TIC 68322189 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.6 s
[1193/1963] TIC 231702397 (label=1) ... ok | 3/6 sec | 5.7 MB | 8.3 s
[1194/1963] TIC 105801221 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.8 s
[1195/1963] TIC 233720539 (label=0) ... ok | 3/27 sec | 6.1 MB | 8.5 s
[1196/1963] TIC 237235093 (label=0) ... ok | 3/21 sec | 5.5 MB | 8.3 s
[1197/1963] TIC 395171208 (label=1) ... ok | 2/2 sec | 4.0 MB | 5.9 s
[1198/1963] TIC 293708935 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.6 s
[1199/1963] TIC 127476180 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.6 s
[1200/1963] TIC 300557619 (label=0) ... ok | 3/12 sec | 5.5 MB | 5.6 s
[1201/1963] TIC 285677945 (label=0) ... ok | 2/2 sec | 3.9 MB | 4.0 s
[1202/1963] TIC 245462406 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.5 s
[1203/1963] TIC 139285736 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.4 s
[1204/1963] TIC 187029841 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.0 s
[1205/1963] TIC 434100688 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.4 s
[1206/1963] TIC 229747848 (label=1) ... ok | 3/39 sec | 5.7 MB | 0.6 s
[1207/1963] TIC 184869170 (label=0) ... ok | 2/2 sec | 3.8 MB | 5.5 s
[1208/1963] TIC 143994283 (label=0) ... ok | 2/2 sec | 3.7 MB | 4.1 s
[1209/1963] TIC 290348383 (label=1) ... ok | 3/5 sec | 5.9 MB | 6.2 s
[1210/1963] TIC 176314383 (label=1) ... ok | 1/1 sec | 4.2 MB | 3.3 s
[1211/1963] TIC 439610306 (label=0) ... ok | 2/2 sec | 3.7 MB | 4.9 s
[1212/1963] TIC 320525204 (label=0) ... ok | 3/28 sec | 6.0 MB | 6.2 s
[1213/1963] TIC 281196902 (label=1) ... ok | 3/3 sec | 5.8 MB | 6.3 s
[1214/1963] TIC 261135533 (label=1) ... ok | 3/3 sec | 5.7 MB | 6.6 s
[1215/1963] TIC 100990000 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/5 sec | 5.9 MB | 0.7 s
[1216/1963] TIC 167009792 (label=0) ... Warning: 30% (5872/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/28 sec | 6.0 MB | 6.7 s
[1217/1963] TIC 468845640 (label=0) ... ok | 3/3 sec | 5.9 MB | 6.7 s
[1218/1963] TIC 97568467 (label=1) ... ok | 3/3 sec | 5.7 MB | 7.4 s
[1219/1963] TIC 250386181 (label=0) ... ok | 2/2 sec | 3.9 MB | 6.3 s
[1220/1963] TIC 198485881 (label=1) ... ok | 3/11 sec | 5.9 MB | 8.3 s
[1221/1963] TIC 185482513 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.9 s
[1222/1963] TIC 261257684 (label=1) ... ok | 3/12 sec | 5.9 MB | 1.9 s
[1223/1963] TIC 251848941 (label=1) ... ok | 3/3 sec | 5.8 MB | 9.3 s
[1224/1963] TIC 463203560 (label=0) ... ok | 3/3 sec | 6.0 MB | 8.8 s
[1225/1963] TIC 350293646 (label=1) ... ok | 3/3 sec | 5.8 MB | 9.2 s
[1226/1963] TIC 357457104 (label=0) ... ok | 3/8 sec | 5.7 MB | 9.3 s
[1227/1963] TIC 350618622 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/37 sec | 6.0 MB | 9.7 s
[1228/1963] TIC 393911494 (label=0) ... ok | 3/6 sec | 5.9 MB | 10.3 s
[1229/1963] TIC 399613138 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.7 s
[1230/1963] TIC 231736113 (label=1) ... ok | 3/5 sec | 5.7 MB | 9.1 s
[1231/1963] TIC 23650642 (label=0) ... ok | 1/1 sec | 2.0 MB | 4.2 s
[1232/1963] TIC 286696848 (label=0) ... ok | 2/2 sec | 0.0 MB | 9.5 s
[1233/1963] TIC 210083929 (label=1) ... ok | 1/1 sec | 1.8 MB | 4.1 s
[1234/1963] TIC 304021498 (label=0) ... ok | 2/2 sec | 3.8 MB | 6.5 s
[1235/1963] TIC 167754523 (label=0) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/21 sec | 6.0 MB | 9.0 s
[1236/1963] TIC 358186451 (label=0) ... ok | 2/2 sec | 4.0 MB | 6.4 s
[1237/1963] TIC 17416749 (label=0) ... ok | 2/2 sec | 3.1 MB | 6.2 s
[1238/1963] TIC 34077285 (label=1) ... ok | 2/2 sec | 3.9 MB | 6.4 s
[1239/1963] TIC 280206394 (label=1) ... ok | 3/8 sec | 5.6 MB | 10.7 s
[1240/1963] TIC 238597883 (label=0) ... ok | 1/1 sec | 1.9 MB | 4.0 s
[1241/1963] TIC 391949880 (label=1) ... ok | 3/20 sec | 5.8 MB | 9.0 s
[1242/1963] TIC 219164808 (label=0) ... ok | 3/10 sec | 5.6 MB | 12.5 s
[1243/1963] TIC 293978434 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.5 s
[1244/1963] TIC 139853601 (label=0) ... ok | 1/1 sec | 1.9 MB | 4.0 s
[1245/1963] TIC 411608801 (label=1) ... ok | 3/3 sec | 5.8 MB | 12.3 s
[1246/1963] TIC 94986319 (label=1) ... ok | 3/4 sec | 5.4 MB | 2.0 s
[1247/1963] TIC 104022675 (label=0) ... ok | 2/2 sec | 3.9 MB | 7.3 s
[1248/1963] TIC 260609205 (label=0) ... Warning: 30% (5872/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/30 sec | 6.0 MB | 9.3 s
[1249/1963] TIC 232967666 (label=0) ... ok | 3/5 sec | 6.0 MB | 8.9 s
[1250/1963] TIC 219344917 (label=1) ... ok | 3/7 sec | 5.4 MB | 8.5 s
[1251/1963] TIC 445751830 (label=1) ... ok | 3/3 sec | 5.8 MB | 8.8 s
[1252/1963] TIC 131036011 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.3 s
[1253/1963] TIC 382626661 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/40 sec | 6.0 MB | 10.5 s
[1254/1963] TIC 341444900 (label=0) ... ok | 3/3 sec | 5.9 MB | 9.6 s
[1255/1963] TIC 444413256 (label=0) ... ok | 2/2 sec | 3.4 MB | 6.5 s
[1256/1963] TIC 162729620 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.9 s
[1257/1963] TIC 46772529 (label=0) ... ok | 1/1 sec | 2.1 MB | 3.5 s
[1258/1963] TIC 282485660 (label=1) ... ok | 1/1 sec | 2.0 MB | 3.0 s
[1259/1963] TIC 10837041 (label=1) ... ok | 2/2 sec | 6.0 MB | 5.4 s
[1260/1963] TIC 178959058 (label=0) ... ok | 1/1 sec | 2.0 MB | 4.4 s
[1261/1963] TIC 27064468 (label=1) ... ok | 3/4 sec | 5.9 MB | 7.5 s
[1262/1963] TIC 458914949 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.6 s
[1263/1963] TIC 292321872 (label=0) ... ok | 2/2 sec | 3.8 MB | 5.5 s
[1264/1963] TIC 230086768 (label=0) ... ok | 3/37 sec | 5.5 MB | 7.4 s
[1265/1963] TIC 316606244 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.7 s
[1266/1963] TIC 271596418 (label=0) ... Warning: 30% (5879/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/32 sec | 6.0 MB | 11.5 s
[1267/1963] TIC 284288080 (label=0) ... ok | 3/4 sec | 5.6 MB | 12.9 s
[1268/1963] TIC 318054782 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.0 s
[1269/1963] TIC 464067218 (label=0) ... ok | 3/3 sec | 6.0 MB | 9.4 s
[1270/1963] TIC 138968089 (label=0) ... ok | 3/6 sec | 5.8 MB | 9.8 s
[1271/1963] TIC 91555165 (label=1) ... ok | 3/3 sec | 7.8 MB | 8.8 s
[1272/1963] TIC 288631580 (label=1) ... ok | 3/21 sec | 5.6 MB | 9.8 s
[1273/1963] TIC 9032368 (label=0) ... ok | 2/2 sec | 3.8 MB | 9.3 s
[1274/1963] TIC 294176967 (label=0) ... ok | 3/6 sec | 6.0 MB | 9.6 s
[1275/1963] TIC 429358906 (label=1) ... ok | 3/5 sec | 5.7 MB | 9.1 s
[1276/1963] TIC 425997655 (label=1) ... Warning: 30% (5872/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/15 sec | 6.0 MB | 2.2 s
[1277/1963] TIC 240968774 (label=1) ... ok | 3/4 sec | 5.6 MB | 8.8 s
[1278/1963] TIC 44792534 (label=1) ... ok | 1/1 sec | 1.9 MB | 4.0 s
[1279/1963] TIC 328513434 (label=1) ... ok | 1/1 sec | 2.0 MB | 5.1 s
[1280/1963] TIC 289988797 (label=0) ... ok | 1/1 sec | 1.9 MB | 4.2 s
[1281/1963] TIC 302766000 (label=0) ... ok | 1/1 sec | 1.9 MB | 4.7 s
[1282/1963] TIC 350743714 (label=0) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/28 sec | 5.8 MB | 11.2 s
[1283/1963] TIC 235678745 (label=1) ... ok | 3/40 sec | 5.7 MB | 11.1 s
[1284/1963] TIC 137157546 (label=0) ... ok | 3/5 sec | 5.8 MB | 13.2 s
[1285/1963] TIC 243185500 (label=1) ... ok | 3/5 sec | 5.5 MB | 9.7 s
[1286/1963] TIC 271971130 (label=1) ... Warning: 30% (5879/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/43 sec | 6.0 MB | 8.2 s
[1287/1963] TIC 261136679 (label=1) ... ok | 3/24 sec | 5.7 MB | 6.2 s
[1288/1963] TIC 151759246 (label=1) ... Warning: 29% (5236/18035) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/3 sec | 5.8 MB | 6.0 s
[1289/1963] TIC 190081497 (label=0) ... ok | 2/2 sec | 3.7 MB | 4.1 s
[1290/1963] TIC 164767175 (label=1) ... Warning: 30% (5872/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/3 sec | 8.0 MB | 6.2 s
[1291/1963] TIC 61980227 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.5 s
[1292/1963] TIC 184952758 (label=0) ... ok | 2/2 sec | 3.6 MB | 4.7 s
[1293/1963] TIC 841226527 (label=0) ... ok | 3/5 sec | 0.0 MB | 12.7 s
[1294/1963] TIC 379629854 (label=0) ... ok | 3/5 sec | 5.8 MB | 6.0 s
[1295/1963] TIC 284305328 (label=0) ... ok | 2/2 sec | 3.4 MB | 4.3 s
[1296/1963] TIC 348135793 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.2 s
[1297/1963] TIC 334597566 (label=0) ... ok | 3/5 sec | 5.5 MB | 6.1 s
[1298/1963] TIC 377293776 (label=1) ... ok | 3/39 sec | 5.7 MB | 7.4 s
[1299/1963] TIC 239136269 (label=0) ... ok | 3/5 sec | 5.6 MB | 5.8 s
[1300/1963] TIC 293567206 (label=0) ... ok | 3/3 sec | 5.8 MB | 6.1 s
[1301/1963] TIC 268371979 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.5 s
[1302/1963] TIC 29781292 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/44 sec | 6.0 MB | 0.7 s
[1303/1963] TIC 361343239 (label=1) ... ok | 3/3 sec | 6.0 MB | 6.0 s
[1304/1963] TIC 149282072 (label=0) ... ok | 2/2 sec | 3.8 MB | 4.1 s
[1305/1963] TIC 285674856 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.6 s
[1306/1963] TIC 287080092 (label=1) ... ok | 3/38 sec | 5.5 MB | 6.1 s
[1307/1963] TIC 232612416 (label=1) ... ok | 3/39 sec | 5.7 MB | 6.4 s
[1308/1963] TIC 241102583 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.4 s
[1309/1963] TIC 264303333 (label=0) ... ok | 3/24 sec | 5.7 MB | 6.1 s
[1310/1963] TIC 1101909431 (label=0) ... ok | 2/2 sec | 3.4 MB | 3.9 s
[1311/1963] TIC 365683032 (label=0) ... ok | 3/5 sec | 0.0 MB | 10.6 s
[1312/1963] TIC 341419787 (label=0) ... ok | 3/8 sec | 5.5 MB | 5.8 s
[1313/1963] TIC 231721005 (label=0) ... ok | 3/10 sec | 6.1 MB | 5.8 s
[1314/1963] TIC 388624270 (label=0) ... ok | 3/3 sec | 5.5 MB | 5.8 s
[1315/1963] TIC 220479565 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/21 sec | 5.8 MB | 6.7 s
[1316/1963] TIC 185405474 (label=0) ... no_data | 0/0 sec | 0.0 MB | 5.5 s
[1317/1963] TIC 179159972 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.0 s
[1318/1963] TIC 126357909 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.4 s
[1319/1963] TIC 71396541 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.5 s
[1320/1963] TIC 22843856 (label=0) ... ok | 3/7 sec | 5.5 MB | 6.2 s
[1321/1963] TIC 407146536 (label=0) ... ok | 3/4 sec | 6.2 MB | 6.1 s
[1322/1963] TIC 123482865 (label=1) ... ok | 3/5 sec | 5.5 MB | 6.0 s
[1323/1963] TIC 108645766 (label=0) ... ok | 2/2 sec | 3.6 MB | 4.1 s
[1324/1963] TIC 48178229 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.8 s
[1325/1963] TIC 262531275 (label=0) ... ok | 3/3 sec | 5.8 MB | 6.0 s
[1326/1963] TIC 403287048 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.2 s
[1327/1963] TIC 327663613 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.6 s
[1328/1963] TIC 321669174 (label=1) ... ok | 3/26 sec | 5.7 MB | 6.0 s
[1329/1963] TIC 153065527 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/5 sec | 5.9 MB | 0.7 s
[1330/1963] TIC 18574158 (label=0) ... no_data | 0/0 sec | 0.0 MB | 1.8 s
[1331/1963] TIC 308307606 (label=0) ... ok | 3/9 sec | 5.5 MB | 5.8 s
[1332/1963] TIC 230017325 (label=0) ... ok | 3/30 sec | 6.0 MB | 6.3 s
[1333/1963] TIC 350445771 (label=0) ... Warning: 30% (5875/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/30 sec | 6.0 MB | 6.3 s
[1334/1963] TIC 441738827 (label=1) ... ok | 3/33 sec | 5.6 MB | 5.9 s
[1335/1963] TIC 74484886 (label=0) ... no_data | 0/0 sec | 0.0 MB | 5.0 s
[1336/1963] TIC 9989136 (label=1) ... ok | 3/3 sec | 5.8 MB | 6.8 s
[1337/1963] TIC 355867695 (label=1) ... ok | 3/7 sec | 5.9 MB | 0.7 s
[1338/1963] TIC 166184426 (label=0) ... ok | 2/2 sec | 3.9 MB | 4.2 s
[1339/1963] TIC 420803693 (label=0) ... ok | 2/2 sec | 3.6 MB | 7.7 s
[1340/1963] TIC 341272282 (label=0) ... no_data | 0/0 sec | 0.0 MB | 11.1 s
[1341/1963] TIC 253917293 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.4 s
[1342/1963] TIC 367858035 (label=1) ... ok | 3/11 sec | 5.6 MB | 6.5 s
[1343/1963] TIC 186812530 (label=1) ... ok | 3/7 sec | 5.4 MB | 6.0 s
[1344/1963] TIC 50943163 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.5 s
[1345/1963] TIC 237104103 (label=1) ... ok | 3/33 sec | 5.8 MB | 6.2 s
[1346/1963] TIC 126733133 (label=0) ... ok | 3/7 sec | 5.5 MB | 6.2 s
[1347/1963] TIC 169249234 (label=1) ... ok | 3/5 sec | 5.7 MB | 6.6 s
[1348/1963] TIC 192520375 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.5 s
