Total seleccionados:    1,968
En estado terminal:     5
Por descargar/reintentar: 1,963 (modo: reintenta error/download_failed)

[1/1963] TIC 427348923 (label=0) ... WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
error | 0/2 sec | 0.0 MB | 1.6 s
[165/1963] TIC 191146556 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.9 s
[166/1963] TIC 271439193 (label=0) ... ok | 3/6 sec | 6.2 MB | 7.2 s
[167/1963] TIC 68152139 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.8 s
[168/1963] TIC 315755496 (label=0) ... ok | 3/7 sec | 5.8 MB | 7.5 s
[169/1963] TIC 286916251 (label=1) ... ok | 3/6 sec | 5.7 MB | 7.5 s
[170/1963] TIC 349972412 (label=1) ... ok | 3/29 sec | 5.5 MB | 5.8 s
[171/1963] TIC 118021229 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.3 s
[172/1963] TIC 178819686 (label=1) ... ok | 3/4 sec | 5.8 MB | 6.0 s
[173/1963] TIC 69356857 (label=1) ... ok | 3/3 sec | 5.9 MB | 5.6 s
[174/1963] TIC 8260536 (label=1) ... ok | 1/1 sec | 2.0 MB | 2.2 s
[175/1963] TIC 454248975 (label=1) ... ok | 2/2 sec | 4.0 MB | 4.1 s
[176/1963] TIC 19342878 (label=1) ... ok | 3/3 sec | 5.9 MB | 5.5 s
[177/1963] TIC 258920431 (label=1) ... ok | 3/28 sec | 6.0 MB | 5.9 s
[178/1963] TIC 281408474 (label=1) ... ok | 1/1 sec | 2.0 MB | 2.3 s
[179/1963] TIC 81429971 (label=0) ... ok | 2/2 sec | 3.7 MB | 4.0 s
[180/1963] TIC 276380902 (label=0) ... ok | 2/2 sec | 3.9 MB | 4.0 s
[181/1963] TIC 185226925 (label=0) ... ok | 3/5 sec | 6.0 MB | 5.8 s
[182/1963] TIC 147950620 (label=1) ... ok | 3/9 sec | 5.9 MB | 5.7 s
[183/1963] TIC 202426247 (label=1) ... ok | 3/13 sec | 5.7 MB | 5.7 s
[184/1963] TIC 158002130 (label=1) ... ok | 3/15 sec | 5.7 MB | 5.9 s
[185/1963] TIC 308034948 (label=0) ... ok | 3/7 sec | 5.8 MB | 5.5 s
[186/1963] TIC 81247740 (label=1) ... Warning: 23% (4253/18126) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 1/1 sec | 1.9 MB | 2.2 s
[187/1963] TIC 252537013 (label=0) ... ok | 2/2 sec | 3.9 MB | 4.0 s
[188/1963] TIC 425721385 (label=0) ... ok | 1/1 sec | 1.8 MB | 2.2 s
[189/1963] TIC 393818343 (label=1) ... ok | 1/1 sec | 2.0 MB | 2.1 s
[190/1963] TIC 28873762 (label=0) ... ok | 3/5 sec | 5.5 MB | 5.5 s
[191/1963] TIC 307210830 (label=1) ... ok | 3/27 sec | 5.7 MB | 5.7 s
[192/1963] TIC 459728249 (label=1) ... no_data | 0/0 sec | 0.0 MB | 1.8 s
[193/1963] TIC 81212286 (label=0) ... ok | 3/3 sec | 5.9 MB | 5.5 s
[194/1963] TIC 284747017 (label=0) ... ok | 3/4 sec | 5.4 MB | 7.1 s
[195/1963] TIC 261257684 (label=1) ... ok | 3/12 sec | 5.9 MB | 6.2 s
[196/1963] TIC 424196109 (label=1) ... ok | 3/3 sec | 5.9 MB | 5.8 s
[197/1963] TIC 335996558 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.7 s
[198/1963] TIC 151724385 (label=1) ... Warning: 29% (5237/18035) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/3 sec | 5.8 MB | 5.7 s
[199/1963] TIC 63898957 (label=1) ... Warning: 30% (5872/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 2/2 sec | 4.0 MB | 3.9 s
[200/1963] TIC 344416349 (label=0) ... no_data | 0/0 sec | 0.0 MB | 1.9 s
[201/1963] TIC 409183335 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.2 s
[202/1963] TIC 256414077 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.6 s
[203/1963] TIC 146520535 (label=1) ... ok | 2/2 sec | 6.1 MB | 4.4 s
[204/1963] TIC 150151262 (label=1) ... Warning: 30% (5872/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/30 sec | 5.5 MB | 5.6 s
